site_id,site_longitude,site_latitude,node_index,node_longitude,node_latitude
AQ,-70.852886,42.53003,97482,-70.85208893,42.53146362
CB,-70.68275,42.6572,84231,-70.68247986,42.65806198
CI,-70.64148,42.00146,113598,-70.63890839,42.00261688
DC,-70.67422,42.66801,80826,-70.67784119,42.66590881
LH,-70.95276,42.43701,125934,-70.95387268,42.43630981
NB,-70.65669,42.59809,84234,-70.65624237,42.60003662
PC,-70.68233,41.98567,116026,-70.68314362,41.98664474
PI,-70.91592,42.42002,120201,-70.91386414,42.41953278
SH,-70.61506,42.00343,106954,-70.61797333,42.00022507
WB,-70.80848,42.55635,94150,-70.80849457,42.55807495
CL,-71.516065,41.380007,73694,-71.51607513,41.37969589
FG,-71.39762,41.49342,97055,-71.39849091,41.49307251
GI,-71.50799,41.38976,87105,-71.50859833,41.38988113
JB,-71.36642,41.49758,106523,-71.3674469,41.49728775
NA,-71.63434,41.36879,80376,-71.63459015,41.36833572
NK,-71.65471,41.36441,82071,-71.65468597,41.36368179
PI,-71.320328,41.581383,128541,-71.31936646,41.58190918
QU,-71.72232,41.34719,75374,-71.72251892,41.34656906
CC,-70.911218,41.595157,121821,-70.91358948,41.59801483
DL,-70.976588,41.528514,110662,-70.97681427,41.5293045
GB,-70.673056,41.524995,111869,-70.67025757,41.5236702
LI,-70.648689,41.611945,127481,-70.64797211,41.61158752
OB,-70.657151,41.741083,145718,-70.65680695,41.74141312
WC,-70.647106,41.690511,135734,-70.64707947,41.69252014
WI,-70.824288,41.582794,116707,-70.82219696,41.58247375
