site.id,latitude,longitude
AQ,42.53003,-70.852886
CB,42.6572,-70.68275
CI,42.00146,-70.64148
DC,42.66801,-70.67422
LH,42.43701,-70.95276
NB,42.59809,-70.65669
PC,41.98567,-70.68233
PV,42.42002,-70.91592
SH,42.00343,-70.61506
WB,42.55635,-70.80848
CL,41.380007,-71.516065
FG,41.49342,-71.39762
GI,41.38976,-71.50799
JB,41.49758,-71.36642
NA,41.36879,-71.63434
NK,41.36441,-71.65471
PI,41.581383,-71.320328
QU,41.34719,-71.72232
CC,41.595157,-70.911218
DL,41.528514,-70.976588
GB,41.524995,-70.673056
LI,41.611945,-70.648689
OB,41.741083,-70.657151
WC,41.690511,-70.647106
WI,41.582794,-70.824288

